EnrolmentID,StudentID,AllCourseID,AcademicYear,Age,ClassSize,Age_CourseStart,EnrolledOnDate,AnnualStartDate,AnnualEndDate,HasChildcareFund,HasHardshipFund,HE,FE,FT,GenderCode,EthnicityCode,DisabilityCode,Count of CourseCodeID,Confirmed,HoursPerWeek,LengthOfCourse,MaritalStatusCode,MoACode,NumberOfWeeks,PlannedLearningHours,PT,ReligionCode,ScqfLevelCode,Semester2Start,SexualOrientationCode,SIMD_Rank,PI_1
1212580,97295,BE1A,2021,22,30,19,2021-07-28 00:00:00,2021-08-23 00:00:00,2022-06-11 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,1,4,09,36,160,Y,01,05,N,6,3102,Completed: Successful
1216221,135111,BE1A,2021,22,30,20,2021-08-20 00:00:00,2021-08-23 00:00:00,2022-06-11 00:00:00,0,0,N,Y,N,M,31,01,1,1,0,1,3,09,36,160,Y,01,05,N,1,1964,Completed: Successful
1206923,113001,BE1A,2021,23,10,21,2021-07-12 00:00:00,2021-08-30 00:00:00,2022-06-15 00:00:00,0,0,Y,N,N,M,10,90,1,1,0,2,3,09,34,240,Y,01,07,N,1,3569,Further Withdrawal
1201781,109893,BE1A,2021,23,17,21,2021-07-05 00:00:00,2021-08-30 00:00:00,2022-06-15 00:00:00,0,0,Y,N,N,M,10,01,1,1,0,1,3,09,34,80,Y,01,07,N,1,148,Completed: Successful
1214189,97832,BE1A,2021,23,22,21,2021-08-10 00:00:00,2021-09-07 00:00:00,2022-06-11 00:00:00,0,0,Y,N,N,F,17,10,1,1,9,2,3,09,33,360,Y,05,08,N,1,3942,Completed: Successful
1212565,128151,BE1A,2021,23,30,20,2021-07-28 00:00:00,2021-08-23 00:00:00,2022-06-11 00:00:00,0,0,N,Y,N,M,10,01,1,1,0,1,4,09,36,160,Y,01,05,N,1,5425,Further Withdrawal
1224399,71824,BE1A,2021,23,30,20,2021-09-13 00:00:00,2021-08-23 00:00:00,2022-06-11 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,1,4,09,36,160,Y,01,05,N,1,5170,Further Withdrawal
1212348,87064,BE1A,2021,23,67,21,2021-07-27 00:00:00,2021-09-15 00:00:00,2022-06-11 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,1,3,09,33,120,Y,11,06,N,4,78,Completed: Successful
1224897,104224,BE1A,2021,24,17,21,2021-09-15 00:00:00,2021-08-30 00:00:00,2022-06-15 00:00:00,0,0,Y,N,N,M,10,01,1,1,0,1,4,09,34,80,Y,02,07,N,6,5887,Early Withdrawal
1229283,94920,BE1A,2021,24,21,21,2021-10-20 00:00:00,2021-10-25 00:00:00,2022-04-25 00:00:00,0,0,N,Y,N,F,10,10,1,1,8,1,4,09,22,160,Y,01,05,N,1,3115,Completed: Successful
1213335,94774,BE1A,2021,24,30,22,2021-08-02 00:00:00,2021-08-23 00:00:00,2022-06-11 00:00:00,0,0,N,Y,N,F,10,02,1,1,0,1,4,09,36,160,Y,01,05,N,1,1106,Completed: Successful
